source,level,target
3646,3,3646
5619,3,5619
5394,3,5394
3336,3,3336
158,3,158
8334,3,8334
6058,3,6058
2231,3,2231
3323,3,3323
4076,3,4076
6094,3,6094
6356,3,6356
5395,3,5395
5456,3,5456
3628,3,3628
6178,3,6178
3464,3,3464
1952,3,1952
1213,3,1213
611,3,611
5045,3,5045
44,3,44
5529,3,5529
5153,3,5153
5305,3,5305
169,3,169
1858,3,1858
1089,3,1089
5016,3,5016
4842,3,4842
6559,3,6559
268,3,268
5593,3,5593
100,3,100
159,3,159
1093,3,159
2091,3,159
5163,3,5163
5951,3,5951
3282,3,3282
508,3,508
1246,3,1246
2684,3,2684
5575,3,5575
5997,3,5997
2217,3,2217
8314,3,8314
c_433922a6,3,c_433922a6
c_9a1bc51d,3,c_9a1bc51d
6315,3,6315
1582,3,1582
6048,3,6048
3690,3,3690
5292,3,5292
4149,3,4149
1643,3,1643
6113,3,6113
2415,3,2415
988,3,988
5651,3,5651
6260,3,5651
6744,3,5651
c_2c5a05a0,3,5651
7361,3,7361
4538,3,4538
4856,3,4856
3411,3,3411
6236,3,6236
4544,3,4544
2016,3,2016
1212,3,1212
3896,3,3896
5863,3,5863
5933,3,5933
4467,3,4467
5095,3,5095
4001,3,4001
1382,3,1382
3773,3,3773
2058,3,2058
1216,3,1216
3839,3,3839
8307,3,8307
c_f05a3667,3,c_f05a3667
1772,3,1772
127,3,127
3838,3,3838
1631,3,1136
5393,3,1136
1136,3,1136
7190,3,7190
2597,3,2597
8525,3,8525
2984,3,2984
3399,3,3399
3471,3,3471
2553,3,2553
7355,3,7355
2483,3,2483
3289,3,3289
6930,3,6930
915,3,915
4473,3,4473
5131,3,4473
300,3,300
8477,3,6709
8476,3,6709
7953,3,6709
8475,3,6709
6709,3,6709
8481,3,6709
8482,3,6709
7954,3,6709
7982,3,6709
5185,3,5187
5187,3,5187
2429,3,2429
3761,3,3761
3138,3,3138
1548,3,1548
5990,3,5990
2727,3,2727
1593,3,1593
5578,3,5578
3494,3,3494
5683,3,5683
5038,3,5038
6061,3,6061
6210,3,6210
1936,3,1936
1522,3,1522
2332,3,2332
3835,3,3835
1462,3,1462
191,3,191
5353,3,5353
484,3,5556
5617,3,5556
891,3,5556
5556,3,5556
4212,3,5556
900,3,900
4883,3,4883
1733,3,3199
3215,3,3199
3199,3,3199
229,3,3199
1732,3,3199
4795,3,4795
2269,3,2269
404,3,2269
2223,3,2223
247,3,247
5099,3,5099
8526,3,8526
80,3,80
6387,3,6387
5468,3,5468
3398,3,3398
5829,3,5829
8501,3,8501
3945,3,3945
167,3,167
392,3,392
6928,3,6928
4512,3,4512
443048,3,443048
451941,3,451941
2274,3,2274
162,3,162
1540,3,1540
2890,3,2890
1404,3,1404
3609,3,1404
5298,3,5298
4106,3,4106
264,3,264
4877,3,4877
1428,3,1428
5524,3,5524
6126,3,6126
4796,3,4796
3469,3,3469
7989,3,7989
1963,3,1963
3571,3,3571
5527,3,5527
c_a02c420c,3,c_a02c420c
